    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  4.600E+00 2.29802E-16  1.882E-05  1.220E-08  9.003E-09  1.233E-13  2.683E-13  1.00E-07
  4.700E+00 2.29130E-16  1.926E-05  1.217E-08  8.999E-09  1.255E-13  2.740E-13  1.00E-07
  4.800E+00 2.28446E-16  1.970E-05  1.215E-08  8.994E-09  1.276E-13  2.797E-13  1.00E-07
  4.900E+00 2.27751E-16  2.015E-05  1.212E-08  8.989E-09  1.297E-13  2.854E-13  1.00E-07
  5.000E+00 2.27045E-16  2.060E-05  1.210E-08  8.984E-09  1.317E-13  2.911E-13  1.00E-07
  5.100E+00 2.26327E-16  2.105E-05  1.207E-08  8.980E-09  1.337E-13  2.968E-13  1.00E-07
  5.200E+00 2.25599E-16  2.150E-05  1.204E-08  8.975E-09  1.357E-13  3.025E-13  1.00E-07
  5.300E+00 2.24859E-16  2.196E-05  1.202E-08  8.969E-09  1.377E-13  3.082E-13  1.00E-07
  5.400E+00 2.24109E-16  2.242E-05  1.199E-08  8.964E-09  1.396E-13  3.139E-13  1.00E-07
  5.500E+00 2.23348E-16  2.288E-05  1.196E-08  8.959E-09  1.415E-13  3.195E-13  1.00E-07
  5.600E+00 2.22576E-16  2.334E-05  1.193E-08  8.954E-09  1.433E-13  3.252E-13  1.00E-07
  5.700E+00 2.21794E-16  2.380E-05  1.190E-08  8.948E-09  1.451E-13  3.308E-13  1.00E-07
  5.800E+00 2.21003E-16  2.427E-05  1.188E-08  8.943E-09  1.469E-13  3.364E-13  1.00E-07
  5.900E+00 2.20201E-16  2.474E-05  1.185E-08  8.937E-09  1.486E-13  3.421E-13  1.00E-07
  6.000E+00 2.19390E-16  2.522E-05  1.182E-08  8.931E-09  1.503E-13  3.477E-13  1.00E-07
  6.100E+00 2.18569E-16  2.569E-05  1.179E-08  8.925E-09  1.519E-13  3.533E-13  1.00E-07
  6.200E+00 2.17738E-16  2.617E-05  1.176E-08  8.919E-09  1.535E-13  3.589E-13  1.00E-07
  6.300E+00 2.16899E-16  2.665E-05  1.172E-08  8.913E-09  1.551E-13  3.645E-13  1.00E-07
  6.400E+00 2.16050E-16  2.714E-05  1.169E-08  8.907E-09  1.566E-13  3.700E-13  1.00E-07
  6.500E+00 2.15193E-16  2.763E-05  1.166E-08  8.901E-09  1.581E-13  3.756E-13  1.00E-07
  6.600E+00 2.14327E-16  2.812E-05  1.163E-08  8.895E-09  1.595E-13  3.812E-13  1.00E-07
  6.700E+00 2.13453E-16  2.861E-05  1.160E-08  8.888E-09  1.609E-13  3.867E-13  1.00E-07
  6.800E+00 2.12570E-16  2.911E-05  1.156E-08  8.882E-09  1.623E-13  3.923E-13  1.00E-07
  6.900E+00 2.11679E-16  2.961E-05  1.153E-08  8.875E-09  1.636E-13  3.978E-13  1.00E-07
  7.000E+00 2.10781E-16  3.011E-05  1.149E-08  8.869E-09  1.649E-13  4.033E-13  1.00E-07
  7.100E+00 2.09874E-16  3.062E-05  1.146E-08  8.862E-09  1.661E-13  4.088E-13  1.00E-07
  7.200E+00 2.08960E-16  3.113E-05  1.143E-08  8.855E-09  1.673E-13  4.143E-13  1.00E-07
  7.300E+00 2.08039E-16  3.164E-05  1.139E-08  8.848E-09  1.684E-13  4.198E-13  1.00E-07
  7.400E+00 2.07110E-16  3.216E-05  1.136E-08  8.841E-09  1.695E-13  4.253E-13  1.00E-07
  7.500E+00 2.06175E-16  3.268E-05  1.132E-08  8.834E-09  1.706E-13  4.307E-13  1.00E-07
  7.600E+00 2.05233E-16  3.320E-05  1.128E-08  8.827E-09  1.716E-13  4.362E-13  1.00E-07
  7.700E+00 2.04284E-16  3.373E-05  1.125E-08  8.819E-09  1.725E-13  4.416E-13  1.00E-07
  7.800E+00 2.03328E-16  3.426E-05  1.121E-08  8.812E-09  1.735E-13  4.471E-13  1.00E-07
